supplier_id,payment_term,payment_term_id
1102588,Net 45,150249
1102589,Net 45,150249
1102590,Net 45,150249
1102591,Net 45,150249
1102592,Net 45,150249
1102593,Net 45,150249
1102594,Instant,45
1102595,Net 45,150249
1102596,Net 30,47
1102597,Net 30,47
1102598,Net 45,150249
1102599,Net 30,47
1102600,Net 45,150249
1102601,Net 30,47
1102602,Net 45,150249
1102603,Net 45,150249
1102604,Net 45,150249
1102605,Net 30,47
1102606,Net 45,150249
1102607,Net 45,150249
1102608,Net 45,150249
1102609,Net 45,150249
1102610,Net 45,150249
1102611,Net 45,150249
1102612,Net 45,150249
1102613,Net 30,47
1102614,Net 30,47
1102615,Net 30,47
1102616,Net 45,150249
1102617,Net 45,150249
1102618,Net 45,150249
1102619,Net 45,150249
1102620,Net 30,47
1102621,Net 30,47
1102622,Net 30,47
1102623,Net 45,150249
1102624,Net 30,47
1102625,Net 45,150249
1102626,Net 45,150249
1102627,Instant,45
1102628,Net 45,150249
1102629,Net 45,150249
1102630,Net 30,47
1102631,Net 30,47
1102632,Net 30,47
1102633,Net 45,150249
1102634,Net 30,47
1102635,Net 45,150249
1102636,Net 30,47
1102637,Net 45,150249
1102638,Net 45,150249
1102639,Net 30,47
1102640,Net 45,150249
1102641,Net 45,150249
1102642,Net 45,150249
1102643,Net 45,150249
1102644,Net 45,150249
1102645,Net 30,47
1102646,Net 30,47
1102647,Net 45,150249
1102648,Net 45,150249
1102649,Net 30,47
1102650,Net 30,47
1102652,Net 45,150249
1102653,Net 45,150249
1102654,Net 45,150249
1102655,Net 45,150249
1102656,Net 45,150249
1102658,Net 30,47
1102659,Net 45,150249
1102660,Net 30,47
1102661,Net 30,47
1102662,Net 45,150249
1102664,Net 30,47
1102665,Net 45,150249
1102666,Net 30,47
1102667,Net 30,47
1102668,Net 45,150249
1102669,Net 30,47
1102670,Net 45,150249
1102671,Net 45,150249
1102672,Instant,45
1102673,Instant,45
1102674,Net 45,150249
1102675,Net 45,150249
1102676,Net 45,150249
1102678,Net 45,150249
1102679,Net 45,150249
1102680,Net 45,150249
1102681,Net 30,47
1102682,Net 45,150249
1102683,Net 30,47
1102684,Net 45,150249
1102685,Net 30,47
1102686,Net 30,47
1102687,Net 45,150249
1102688,Net 30,47
1102689,Net 30,47
1102690,Net 45,150249
1102691,Net 45,150249
1102692,Net 30,47
1102693,Net 45,150249
1102694,Net 30,47
1102695,Net 30,47
1102696,Net 45,150249
1102697,Net 45,150249
1102698,Net 45,150249
1102699,Net 45,150249
1102700,Net 30,47
1102701,Net 30,47
1102702,Net 30,47
1102704,Net 30,47
1102705,Net 30,47
1102706,Net 30,47
1102707,Net 30,47
1102708,Net 45,150249
1102709,Net 45,150249
1102710,Net 30,47
1102711,Instant,45
1102712,Net 45,150249
1102713,Net 30,47
1102715,Net 30,47
1102716,Instant,45
1102717,Net 30,47
1102718,Net 45,150249
1102719,Net 30,47
1102720,Net 45,150249
1102721,Net 30,47
1102722,Net 45,150249
1102723,Net 45,150249
1102724,Net 30,47
1102725,Net 45,150249
1102726,Net 45,150249
1102727,Net 30,47
1102728,Net 45,150249
1102729,Net 30,47
1102730,Net 30,47
1102731,Net 30,47
1102732,Net 30,47
1102734,Net 30,47
1102736,Net 30,47
1102737,Net 30,47
1102738,Instant,45
1102739,Net 45,150249
1102740,Net 45,150249
1102741,Net 45,150249
1102742,Net 30,47
1102743,Net 30,47
1102744,Net 45,150249
1102745,Net 45,150249
1102746,Net 30,47
1102747,Net 30,47
1102748,Net 30,47
1102749,Net 30,47
1102750,Net 45,150249
1102751,Net 45,150249
1102753,Net 45,150249
1102754,Instant,45
1102755,Instant,45
1102756,Net 30,47
1102757,Net 30,47
1102758,Net 30,47
1102759,Net 30,47
1102761,Net 30,47
1102762,Instant,45
1102763,Net 30,47
1102764,Instant,45
1102765,Net 30,47
1102767,Net 30,47
1102769,Net 30,47
1102770,Instant,45
1102771,Net 30,47
1102772,Net 30,47
1102773,Net 30,47
1102774,Instant,45
1102775,Net 30,47
1102776,Instant,45
1102777,Net 45,150249
1102778,Net 30,47
1102779,Net 45,150249
1102780,Net 45,150249
1102781,Net 30,47
1102782,Net 30,47
1102784,Instant,45
1102785,Net 30,47
1102786,Net 45,150249
1102787,Net 45,150249
1102788,Net 45,150249
1102789,Net 45,150249
1102790,Net 30,47
1102794,Instant,45
1102796,Net 30,47
1102797,Instant,45
1102798,Net 45,150249
1102799,Net 45,150249
1102800,Net 45,150249
1102801,Net 45,150249
1102802,Net 30,47
1102803,Net 45,150249
1102804,Net 30,47
1102805,Net 30,47
1102806,Net 30,47
1102807,Net 45,150249
1102808,Net 45,150249
1102809,Net 30,47
1102810,Net 30,47
1102811,Net 45,150249
1102812,Net 30,47
1102813,Net 30,47
1102814,Net 30,47
1102815,Net 45,150249
1102816,Net 45,150249
1102817,Net 30,47
1102818,Net 45,150249
1102820,Net 30,47
1102821,Net 30,47
1102822,Net 30,47
1102823,Net 30,47
1102824,Net 30,47
1102825,Net 30,47
1102826,Net 30,47
1102827,Net 30,47
1102828,Net 30,47
1102829,Net 30,47
1102830,Net 30,47
1102831,Net 30,47
1102832,Net 45,150249
1102833,Net 45,150249
1102834,Net 30,47
1102835,Net 30,47
1102836,Net 45,150249
1102837,Net 30,47
1102838,Net 45,150249
1102839,Net 45,150249
1102840,Net 45,150249
1102841,Net 30,47
1102842,Net 30,47
1102843,Net 45,150249
1102844,Net 45,150249
1102845,Net 45,150249
1102846,Net 30,47
1102847,Net 30,47
1102848,Net 45,150249
1102849,Net 30,47
1102850,Net 45,150249
1102851,Net 45,150249
1102852,Net 45,150249
1102853,Net 45,150249
1102854,Net 30,47
1102855,Net 45,150249
1102856,Net 45,150249
1102857,Net 45,150249
1102858,Net 30,47
1102859,Net 45,150249
1102860,Net 45,150249
1102861,Net 30,47
1102862,Net 30,47
1102863,Net 30,47
1102864,Net 45,150249
1102865,Net 30,47
1102866,Net 45,150249
1102867,Net 45,150249
1102868,Net 45,150249
1102869,Net 45,150249
